Points_0,Points_1,Points_2,Points_Magnitude,meshID
64979.2,-21640.8,103556,124155,5
65130.1,-20483.3,103423,123927,6
65318.3,-20812.7,104455,124942,7
64172.1,-21261.2,101866,122257,8
64368.8,-21660,102642,123077,9
63898.1,-22252.1,101878,122300,10
63597.6,-19002,102140,121813,11
64213.2,-19317.1,102815,122749,12
64051.4,-20042.2,102239,122299,13
64437.2,-20600.2,102658,122944,14
64619.6,-19962.6,103196,123384,15
64941.8,-21102.5,102959,123545,16
46759.6,-41795.3,77999.1,100086,55
46620.6,-42816.9,77891.3,100368,56
46482.7,-42356.8,78336.1,100455,57
46186,-42778.9,78702.2,100783,58
46145.4,-41914.2,79144.2,100747,59
46487.8,-41139.4,78832.8,100340,60
50478,-33892,90495.4,109023,66
50453.2,-33864.3,91303.7,109675,67
51077.4,-34548.9,90757.7,109725,68
47713.2,-42307.8,76971.4,99955.5,69
47103.1,-43167.9,77294.2,100282,70
46803.3,-42437.2,77352.1,99874,71
48466.9,-40412.4,79039.5,101141,72
47549.6,-40484.4,78116.9,100011,73
47596.4,-40430.6,79205.3,100864,74
46803.6,-40346.6,78858.6,100185,75
39519.9,-32157.1,92076.1,105233,88
40571.8,-31803.5,91618.4,105126,89
40029.5,-32328.1,91145.9,104666,90
39160.1,-32536.4,90759.2,104064,91
40481.7,-33488,89348.5,103650,93
39888.6,-32903.6,90173.9,103947,94
40735.6,-32776,90034.4,104115,95
41050.3,-32331.6,90700.2,104676,96
59537.6,-49005.8,101690,127621,341
59722.1,-48339.8,102228,127883,346
58929.1,-49222,100760,126681,347
47483.5,-18954.6,103049,115035,356
47188,-19691.2,102294,114361,357
46582,-19438.5,102835,114555,358
45846.1,-19513.9,102627,114083,359
45801.5,-20308.1,102426,114023,360
45936.9,-20981.2,101995,113813,361
46758.1,-20250.5,101716,113765,362
59267.6,-30799.2,108097,127068,398
58964.4,-29856.3,108741,127251,399
58757.4,-30890.9,109006,127628,400
59561.6,-29959.8,107714,126679,401
59956.6,-28473.2,108148,126892,402
60294.3,-28779.3,107404,126488,403
60565.5,-28033.8,107282,126347,404
59168.5,-28634.5,109040,127321,405
59790.4,-29241.3,108287,127106,406
51610.3,-39753.6,86745.6,108484,462
50959.9,-39480.6,85643.5,107193,463
51246.7,-38769.7,86843.5,108033,464
49686.5,-21410.2,108709,121428,525
49283.1,-20994.6,107953,120513,526
48596.4,-21759,108701,121041,527
50065,-22119.6,109654,122555,528
59917.5,-40648.1,104813,127390,538
59756.5,-41028.9,104144,126886,539
59327.5,-40571.5,104082,126487,540
59284.9,-41511.8,103521,126311,541
59795.5,-40238.1,105859,128065,542
59339,-39856.2,104948,126979,543
59063.6,-39718.4,104050,126065,544
58923.7,-38748.6,104354,125949,545
43643.1,-43082.4,82776.7,103018,561
43818.5,-42490,81784.3,102050,562
44272.2,-43769.9,82142.1,103069,563
50848.9,-18277.3,104434,117585,614
51426.2,-18030.4,105242,118514,615
52058.3,-18212.6,104827,118450,616
51826.7,-18639.3,105693,119182,617
51181.6,-19370.1,106501,119738,618
50714.1,-18902.1,105659,118714,619
50517.3,-19053.9,106644,119532,620
49972.3,-19328.2,106173,118927,621
50003,-18592.9,105337,118076,622
49650.3,-18457.1,104260,116944,623
42422.1,-40597.4,83010.6,101679,627
42302.8,-39799,83395,101628,628
43109.1,-40291.1,83152.2,101961,629
41845.3,-39295.9,84094.9,101819,630
41920,-40140.7,84044.9,102138,631
42226.3,-40947.5,84158,102676,632
66980.9,-17668.8,107520,127903,692
66814.9,-18327.1,108125,128418,693
66814.7,-18839,107549,128007,694
48778.4,-34112.5,86588.7,105074,730
49588.1,-34613.6,87682.4,106514,731
49276.9,-35187.2,86750.1,105792,732
49776.4,-35368.9,87996.9,107108,733
48762.9,-33809.1,87606,105810,734
50111.1,-34761.2,88308.2,107321,735
50340.7,-34479.2,89299.3,108154,736
49469,-33884.9,88641.7,107017,737
49757.6,-33277.2,89400.9,107590,738
49046.2,-32736.1,88564.8,106400,739
63432.7,-24537.7,106810,126626,789
63983,-24252.9,108171,127996,790
63001.3,-24570.4,107586,127073,791
64649.3,-23916.8,108454,128506,792
64268.6,-23983.5,107281,127338,793
65284.3,-23790.7,107802,128255,794
64362.7,-24234.8,105890,126264,795
65246.5,-23722,106648,127254,796
63834.3,-24940.9,105905,126146,797
49427.4,-34247.4,93467.3,111140,798
49621.8,-34769.3,94614.1,112352,799
49935.7,-35572,94178.5,112377,800
65254.1,-20083.4,110047,129506,840
65809.5,-19160.9,109901,129523,841
64821.8,-19141.2,109959,129071,842
66176.5,-18257.2,109491,129232,843
65095.3,-18311.7,109685,128855,844
58174.8,-25540.5,101177,119471,892
58492.5,-26169,101216,119795,893
57532.7,-25938.4,101939,119893,894
58544.5,-26542.4,102044,120602,895
57284.5,-26778.9,102414,120363,896
61710.5,-25444.7,102140,122017,1046
61463.9,-24787.4,100907,120725,1047
62360.4,-24950.7,101619,121810,1048
63127.9,-24426.8,101298,121832,1049
62418.3,-24270.9,100636,120883,1050
61713.2,-24006.1,100352,120230,1051
61464.8,-15526.9,106683,124098,1152
62297.4,-15270.5,106854,124627,1153
62382.7,-15119.3,105952,123879,1154
63412,-14927.7,105142,123688,1155
63509.2,-15139.3,106214,124676,1156
61259.3,-15863.7,105557,123072,1157
