Index,Vertex0,Vertex1,Vertex2,NormalX,NormalY,NormalZ,GroupID
       0 ,3346,2102,2085,0.02218,-0.98038,0.19586,0
       1 ,3278,3267,2498,-0.60860,-0.66452,0.43360,0
       2 ,2814,115,146,0.81278,-0.00454,-0.58255,0
       3 ,2056,1536,1579,-0.65607,0.74178,-0.13904,0
       4 ,1320,3222,2587,-0.29465,-0.95470,-0.04146,0
       5 ,3411,1660,3415,-0.53802,-0.79831,-0.27062,0
       6 ,1865,918,2582,0.71632,-0.53316,-0.45014,0
       7 ,1242,2151,2145,0.35539,0.76314,-0.53974,0
       8 ,1199,2187,2183,-0.56864,0.17840,-0.80301,0
       9 ,3187,2712,2696,-0.14784,-0.45091,-0.88024,0
      10 ,1149,1697,1483,-0.89659,0.07629,-0.43623,0
      11 ,2783,1621,2769,-0.28853,0.17622,0.94112,0
      12 ,2042,3862,3842,-0.06956,-0.19887,-0.97756,0
      13 ,545,1210,32,-0.25997,0.65925,-0.70555,0
      14 ,1679,2820,2804,0.48364,0.70529,0.51833,0
      15 ,757,1716,16,-0.75941,-0.28223,-0.58622,0
      16 ,1629,2633,2401,-0.20709,0.93437,0.28995,0
      17 ,1715,1682,1711,-0.01308,0.92480,-0.38022,0
      18 ,3860,549,0,0.02151,0.08847,-0.99585,0
      19 ,1789,1067,1786,0.70698,-0.64171,0.29731,-4
      20 ,2740,1496,2129,-0.24045,0.82032,-0.51891,0
      21 ,1813,830,216,0.55946,0.29266,-0.77547,0
      22 ,3281,3541,3515,-0.55592,-0.43201,0.71015,0
      23 ,2185,1990,1458,0.55749,-0.53798,0.63228,-4
      24 ,1633,1614,1731,0.16204,-0.50167,-0.84975,0
      25 ,3111,2462,1091,0.88593,0.40331,0.22905,0
      26 ,2848,210,878,0.31718,-0.41732,-0.85161,0
      27 ,2934,11,1634,0.71091,0.35740,0.60571,0
      28 ,3415,1660,3392,-0.48339,-0.81775,-0.31244,0
      29 ,177,433,831,-0.99185,0.09223,0.08785,0
      30 ,1818,3539,3536,-0.48138,-0.51815,0.70696,0
      31 ,3448,2453,1485,-0.57250,-0.23568,0.78530,0
      32 ,593,2155,2141,0.16816,0.29068,0.94193,0
      33 ,2014,2000,534,-0.92380,-0.22162,-0.31221,0
      34 ,897,2107,2110,-0.07358,-0.97167,-0.22460,0
      35 ,764,632,171,-0.99538,-0.01366,0.09503,0
      36 ,779,2968,28,0.92893,-0.12171,-0.34969,0
      37 ,3441,2430,2434,-0.37386,0.33671,0.86421,0
      38 ,2351,2315,798,-0.00858,0.62380,0.78153,0
      39 ,915,3079,1005,0.96875,0.23681,0.07375,0
      40 ,692,2848,2880,0.46117,-0.36405,-0.80919,0
      41 ,3522,3515,1348,-0.57816,-0.38439,0.71971,0
      42 ,1010,126,1849,-0.01650,-0.88982,-0.45601,0
      43 ,1073,502,406,-0.09311,0.20499,0.97433,0
      44 ,1030,2102,1223,0.04759,-0.98452,0.16870,0
