Index,Unipolar,Bipolar,LAT,Impedance,A1,A2,A2-A1,SCI,ICL,ACL,Force,Paso
       0 ,0.77426,0.46531,70.02633,133.44798,-10000.00000,79.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,12.59766,-10000.00000
       1 ,1.17123,0.43353,-6.07685,127.52788,-10000.00000,-11.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.80793,-10000.00000
       2 ,0.83848,0.74944,50.14090,135.35318,-10000.00000,87.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.40472,-10000.00000
       3 ,0.72820,0.57573,72.17496,134.99471,-10000.00000,79.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.96028,-10000.00000
       4 ,0.69108,0.40174,69.07211,134.52921,-10000.00000,74.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.35865,-10000.00000
       5 ,1.38900,0.73435,-81.81741,130.35352,-10000.00000,-81.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,6.90913,-10000.00000
       6 ,0.84335,0.52836,65.21046,135.23746,-10000.00000,61.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.49253,-10000.00000
       7 ,1.58316,0.72466,-17.50141,132.48645,-10000.00000,-9.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,3.28404,-10000.00000
       8 ,1.16170,0.52489,-45.25916,129.39288,-10000.00000,-59.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.72215,-10000.00000
       9 ,0.90102,0.49828,-44.60772,122.62592,-10000.00000,-56.50000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.46631,-10000.00000
      10 ,1.09634,0.83341,4.63125,125.81812,-10000.00000,11.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.53493,-10000.00000
      11 ,1.49209,0.80228,-18.25549,127.21791,-10000.00000,-22.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,1.94938,-10000.00000
      12 ,0.76769,0.90722,-28.87500,134.92914,-10000.00000,-67.50000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.29943,-10000.00000
      13 ,0.75333,0.23384,71.67184,133.54868,-10000.00000,74.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,15.15447,-10000.00000
      14 ,1.17377,0.40887,-13.39408,132.47520,-10000.00000,-9.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,3.54872,-10000.00000
      15 ,0.81588,0.51713,70.30367,135.16626,-10000.00000,61.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.85662,-10000.00000
      16 ,0.93819,0.37288,-40.34185,130.20885,-10000.00000,-42.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,3.08055,-10000.00000
      17 ,1.23191,0.43370,-14.22329,132.04680,-10000.00000,-9.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,3.21694,-10000.00000
      18 ,0.92236,0.45365,76.87328,141.41046,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.01088,-10000.00000
      19 ,1.88774,1.01682,-21.43975,130.88527,-10000.00000,-29.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,2.52453,-10000.00000
      20 ,1.84418,0.99106,-35.54096,131.68399,-10000.00000,-36.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.34064,-10000.00000
      21 ,1.60647,0.69779,-58.77337,127.71545,-10000.00000,-33.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,11.29390,-10000.00000
      22 ,1.51852,0.74692,-80.15880,131.11115,-10000.00000,-85.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.87208,-10000.00000
      23 ,1.26516,0.49076,-14.39579,132.23956,-10000.00000,-9.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,3.24878,-10000.00000
      24 ,0.63349,0.24968,-24.00526,126.70406,-10000.00000,-35.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,1.58663,-10000.00000
      25 ,1.31820,0.63068,-0.24175,124.54409,-10000.00000,-11.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,2.57290,-10000.00000
      26 ,1.18590,0.39462,-14.01148,133.15784,-10000.00000,-9.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,3.20887,-10000.00000
      27 ,0.46474,0.27070,67.64719,134.49287,-10000.00000,66.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.87521,-10000.00000
      28 ,1.77759,1.21425,-49.22575,132.05830,-10000.00000,-51.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,19.22309,-10000.00000
      29 ,0.67103,0.28008,-23.47860,131.63544,-10000.00000,-34.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,6.90071,-10000.00000
      30 ,1.03532,0.26089,-11.71704,132.98071,-10000.00000,-9.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,3.66672,-10000.00000
      31 ,-10000.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000
      32 ,1.16335,0.47036,-18.27489,128.50162,-10000.00000,-22.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,1.46905,-10000.00000
      33 ,1.02052,0.40115,-38.01746,130.42372,-10000.00000,-24.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.25113,-10000.00000
      34 ,0.98700,0.10800,-8.00000,127.00000,-10000.00000,-8.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,0.00000,-10000.00000
      35 ,1.07553,0.84261,-52.75000,134.49541,-10000.00000,-101.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.58157,-10000.00000
      36 ,0.57835,0.29624,67.74985,134.31546,-10000.00000,74.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,11.28310,-10000.00000
      37 ,1.19643,0.61417,-77.00339,128.08188,-10000.00000,-78.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,4.76311,-10000.00000
      38 ,0.83491,0.69563,-87.16682,128.81351,-10000.00000,-84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,12.60000,-10000.00000
      39 ,0.70532,0.24691,31.41607,130.25735,-10000.00000,34.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.68323,-10000.00000
      40 ,0.85194,0.40089,-57.98494,127.24655,-10000.00000,-80.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.13249,-10000.00000
      41 ,1.63779,1.05385,-51.30657,130.30014,-10000.00000,-51.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,17.28987,-10000.00000
      42 ,0.49551,0.31839,65.81995,135.58713,-10000.00000,66.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.97943,-10000.00000
      43 ,0.47013,0.28748,68.88303,134.80048,-10000.00000,66.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.24526,-10000.00000
      44 ,0.80529,0.28963,-61.40000,131.19962,-10000.00000,-68.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.00000,-10000.00000
      45 ,2.42044,1.16143,-22.42816,136.00000,-10000.00000,-29.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,2.71428,-10000.00000
      46 ,0.56026,0.36209,70.78081,134.37341,-10000.00000,66.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.31363,-10000.00000
      47 ,0.99687,0.39843,-35.13434,130.90305,-10000.00000,-42.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,2.95484,-10000.00000
