Index,X,Y,Z,NormalX,NormalY,NormalZ,GroupID
       0 ,12.544,-52.536,90.685,-0.00557,0.12213,-0.99250,0
       1 ,41.320,-28.375,117.844,0.04825,0.96564,0.25537,0
       2 ,-13.264,-35.949,123.714,-0.14036,0.04903,0.98889,0
       3 ,-25.312,-29.036,117.427,-0.90560,0.04477,0.42177,0
       4 ,-25.420,-25.794,110.480,-0.28801,0.59522,-0.75018,0
       5 ,39.329,-68.654,94.110,0.06423,-0.53398,-0.84306,0
       6 ,-17.241,-34.099,104.267,-0.38775,0.39279,-0.83388,0
       7 ,61.805,-23.667,99.652,0.40126,-0.01646,-0.91582,0
       8 ,53.585,-43.530,81.586,0.78736,0.59417,-0.16438,0
       9 ,31.292,-65.853,141.237,-0.33362,-0.10422,0.93693,0
      10 ,37.834,-27.071,128.964,-0.34035,0.91436,0.21936,0
      11 ,59.123,-38.532,122.717,0.79862,0.33490,0.50005,0
      12 ,-4.447,-35.725,123.073,-0.27966,0.49384,0.82335,0
      13 ,-14.101,-25.547,111.737,0.11461,0.89579,-0.42944,0
      14 ,58.439,-19.711,101.304,-0.17607,0.50464,-0.84518,0
      15 ,-27.291,-29.606,108.886,-0.82222,0.23685,-0.51754,0
      16 ,47.053,-42.578,76.692,-0.72011,-0.05688,-0.69152,0
      17 ,63.803,-14.146,103.234,-0.01297,0.85510,-0.51830,0
      18 ,-20.554,-55.282,76.936,-0.20400,-0.51493,-0.83260,0
      19 ,66.859,-22.397,109.355,0.15159,-0.64596,0.74817,0
      20 ,54.496,-38.099,101.234,0.16679,0.76802,-0.61832,0
      21 ,29.603,-80.585,115.535,0.12894,-0.99061,0.04548,0
      22 ,44.997,-66.729,95.079,0.44518,-0.41390,-0.79404,0
      23 ,61.525,-18.550,101.367,-0.05254,0.34342,-0.93771,0
      24 ,24.296,-38.984,93.217,-0.02622,0.12161,-0.99223,0
      25 ,44.661,-28.342,126.324,0.45351,0.88765,-0.08004,0
      26 ,57.796,-23.709,100.101,-0.21404,-0.14556,-0.96592,0
      27 ,-21.134,-19.374,120.296,0.30977,0.93605,0.16691,0
      28 ,62.336,-55.789,107.856,0.95653,-0.20764,-0.20478,0
      29 ,17.814,-25.776,106.878,0.09108,0.99283,-0.07744,0
      30 ,55.476,-20.618,101.295,-0.12936,0.44098,-0.88814,0
      31 ,42.514,-64.770,135.379,0.61799,-0.71295,0.33134,0
