BlankMeshes/OC59/Index,X,Y,Z
0,12544.556657019584,-52548.21276817619,90784.24987872253
1,41315.174748820864,-28471.56380204373,117818.46279016968
2,-13249.96370317827,-35953.90349996017,123615.11148671522
3,-25221.44053252144,-29040.47668824357,117384.82249281467
4,-25391.199125065392,-25853.52208312626,110555.01753943787
5,39322.57744456063,-68600.60240396902,94194.30567904799
6,-17202.224432088176,-34138.27893448521,104350.38837232385
7,61764.87404700637,-23665.353683677688,99743.58164411562
8,53506.26412037674,-43589.41756071626,81602.43820971032
9,31325.36251800595,-65842.57846593214,141143.30723603195
10,37868.03455575385,-27162.435521036205,128942.06385385999
11,59043.13785706517,-38565.4897725102,122666.99526759323
12,-4419.034627782465,-35774.38440004451,122990.66459455993
13,-14112.460703664725,-25636.579461297595,111779.94382825437
14,58456.60714271232,-19761.463890105042,101388.51854424311
15,-27208.777757842625,-29629.685153762304,108937.75438518493
16,47125.01133408548,-42572.31216368842,76761.15212419962
17,63804.296765351,-14231.509648619563,103285.83067038524
18,-20533.600222412115,-55230.506680744504,77019.26035759241
19,66843.84138965904,-22332.40363013165,109280.18338732366
20,54479.321517271805,-38175.802310894316,101295.83229944922
21,29590.105610282644,-80485.93913758919,115530.45244546547
22,44952.48221437559,-66687.6104413903,95158.40447847062
23,61530.25355388821,-18584.341915792178,101460.77117356239
24,24298.622269479063,-38996.161508304394,93316.22308914029
25,44615.64847598383,-28430.76474556036,126332.00370008271
26,57817.40361189052,-23694.443674184662,100197.59191879655
27,-21164.97729316383,-19467.60463122191,120279.30927437014
28,62240.3468582197,-55768.23595736789,107876.477573126
29,17804.89193549982,-25875.282803935395,106885.7439010703
30,55488.936347461924,-20662.098540490915,101383.81424233149
31,42452.20116339616,-64698.70469547535,135345.86567720398
32,42120.98318021591,-22669.50505694872,101055.24353621143
33,49667.45860442086,-40001.2960363345,79462.15464582569
34,22695.50578069508,-37654.873888796195,93618.915471596
35,-10247.355228725513,-49639.17785523736,122207.77193705972
36,-22698.491241548778,-23514.079132598963,112771.34074282339
37,36396.44980388924,-64414.262192808266,92435.65220569924
38,2330.6369158400353,-53594.55721846981,130785.67647297522
39,9412.07845801827,-31640.229126346458,97986.91624145534
40,24723.7675445398,-64064.321946162294,93376.59668261513
41,61363.73589822542,-57653.44015010267,108907.08658349805
42,-18268.193177028723,-22296.630791907864,121250.45359575916
43,-20547.29678266599,-20042.261069175765,121127.724884519
44,6460.530684719013,-45169.71122499654,132721.23710047416
45,35082.00432861557,-24832.19315916727,109499.51588409927
46,-24655.613164325594,-21537.919696039,115508.85611963652
47,45175.11895914315,-40491.58295910603,80443.98171947137
48,16108.766570608459,-28280.48765048152,122270.97861236562
49,-26892.59107822718,-31869.46466029977,113012.18944757638
50,62690.20127759434,-20094.666327693183,100982.61878774602
51,39546.627428253676,-64570.953160811696,138900.4141045846
52,21033.791135743762,-35690.72866471498,94239.39827178048
53,-19793.99539320847,-48705.56197697579,76542.96717587665
54,49051.061571137056,-27023.847477516065,101244.78075193233
55,17643.113766042636,-41179.89452488943,92708.07158264912
56,12337.013931765,-78368.6478173601,111037.8027304607
57,25588.626336622605,-80179.79751750761,102614.60637382265
58,33758.568529058444,-72557.38002610688,133782.8034680875
59,62290.59833388755,-24302.92964125447,100534.01764797396
60,46257.023393390176,-45926.981832283316,81255.39335880238
61,-7544.828639502536,-62051.15033816644,99082.91981989778
62,-13668.252564072625,-52218.925272038934,79855.4715645066
63,59539.379528681755,-18244.630655523146,102033.83399387468
64,53741.127829226454,-47014.18892055743,80759.73700724762
65,-20011.622863007884,-41826.13557941086,79608.63756476252
66,31572.16578507786,-62071.62421238716,140628.66429544275
67,9570.100594585903,-75674.29867310722,100632.27703597807
68,-10687.571583397885,-49503.482569725325,82548.23177807227
69,60614.500350065326,-24997.97255683891,100497.50673879762
70,65260.03041371962,-21966.693693272282,109765.58683474902
71,12592.81351488292,-78551.95238612176,107365.16295038482
72,-11456.73062023129,-49651.41806018748,120694.03165797559
