BlankMeshes/OC59/Index,X,Y,Z
0,12541.77337192167,-52487.14892729523,90288.00048510988
1,41339.30100471652,-27988.744791825087,117946.14883932128
2,-13320.145187286922,-35929.38600015932,124109.55405313909
3,-25674.23786991425,-29018.093247025732,117595.71002874135
4,-25535.20349973845,-25555.91166749495,110179.92984224856
5,39354.690221757475,-68867.59038412389,93772.77728380807
6,-17396.1022716473,-33941.88426205912,103933.44651070458
7,61965.503811974515,-23673.58526528926,99285.67342353752
8,53899.94351849304,-43292.329757134954,81520.24716115868
9,31158.549927976208,-65894.68613627144,141611.77105587226
10,37697.8617769846,-26705.257915855185,129051.74458456006
11,59442.448571739274,-38398.040909959185,122917.0189296271
12,-4558.861488870141,-35527.46239982196,123402.34162176022
13,-14055.157185341102,-25188.682154809612,111565.22468698247
14,58368.571429150725,-19509.144439579828,100965.92582302757
15,-27619.888968629497,-29511.2593849508,108678.98245926027
16,46764.95466365807,-42600.75134524634,76415.39150320145
17,63797.81293859601,-13803.961405521744,103026.67731845906
18,-20635.599110351537,-55487.97327702196,76602.95856963034
19,66919.63444136384,-22655.385479473407,109654.26645070539
20,54562.71393091279,-37791.79075642271,100986.67080220314
21,29654.57755886943,-80981.24344964321,115553.19021813809
22,45175.07114249765,-66894.55823443887,94761.38208611749
23,61503.98578444715,-18412.6323368313,100991.91530575047
24,24285.510922083737,-38935.35396678243,92820.10764343885
25,44842.40609606471,-27986.94101775855,126291.98519966913
26,57710.38555243793,-23767.225303261355,99714.63232481384
27,-21010.090827344677,-18999.581475112347,120362.76290251952
28,62718.612567121185,-55872.05617052844,107774.08970749602
29,17850.432258000717,-25378.868784258422,106847.0243957188
30,55424.254610152304,-20441.605838036332,100939.74303067407
31,42761.19534641537,-65055.181218098565,135511.53729118404
32,41941.06727913638,-22321.979772205123,100744.02585515424
33,49940.16558231654,-39604.81585466202,79326.38141669723
34,22657.97687721968,-37560.50444481522,93129.33811361602
35,-10520.579085097943,-49958.288579050604,122478.9122517611
36,-22641.035033804896,-23173.683469604166,112409.6370287064
37,36319.20078444304,-64537.951228766884,91957.39117720306
38,2057.4523366398594,-53836.771126120766,131127.29410809916
39,9391.686167926922,-31304.08349461417,97617.33503417861
40,24754.929821840808,-64207.71221535085,92898.61326953948
41,61780.05640709834,-57921.23939958931,108836.65366600775
42,-18067.22729188511,-22098.47683236855,121663.18561696338
43,-20395.812869336027,-19725.95572329693,121484.10046192395
44,6302.877261123948,-45031.15510001385,133175.05159810346
45,34976.98268553772,-24351.22736333093,109586.93646360288
46,-25137.547342697624,-21408.321215843993,115539.57552145394
47,44834.524163427406,-40313.668163575894,80124.07312211453
48,16124.933717566151,-27788.049398073916,122356.08555053751
49,-27344.63568709129,-31947.141358800924,113211.24220969451
50,62819.19488962268,-19941.33468922726,100524.52484901594
51,39763.490286985296,-64816.18735675326,139278.34358166155
52,20984.83545702496,-35567.08534114007,93757.40691287813
53,-19794.018427166116,-48692.75209209685,76043.1312964934
54,49260.75371545181,-27024.610089935744,100790.87699227069
55,17692.544935829454,-41070.421900442285,92222.71366940349
56,12041.944272940002,-78770.40873055953,110998.78907815722
57,25645.4946535096,-80615.80992996953,102376.57450470932
58,33955.725883766245,-72945.47989557247,134028.78612764998
59,62582.60666444978,-24508.281434982113,100183.92940810419
60,45981.90642643928,-46252.07267086671,80993.42656479047
61,-7750.685441989856,-62450.39864733426,98863.3207204089
62,-13321.989743709495,-52399.2989118443,79543.11374197365
63,59407.48188527298,-17981.47737790741,101629.66402450127
64,53950.48868309417,-47468.24431777025,80761.05197100951
65,-19963.508547968464,-41335.45768235658,79525.4497409499
66,31511.33685968856,-61933.503150451346,141105.34281822902
67,9254.597621656378,-75992.80530757117,100410.89185608772
68,-10319.713666408466,-49396.06972109869,82227.07288771094
69,60636.998599738705,-25313.10977264435,100109.97304480955
70,65289.87834512155,-22178.22522691087,110217.65266100393
71,12293.74594046832,-78952.190455513,107384.34819846069
72,-11768.077519074837,-49964.327759250074,120928.87336809766
73,51489.037391459075,-48102.461347136785,81924.06849046085
74,36167.28288466596,-23857.650516738013,104286.84740766883
75,-13046.004506687568,-46246.762529027954,122887.37855432068
76,60302.4481752478,-37561.100948278196,121428.33113811674
77,48425.39431834752,-22500.283080146466,110977.28275250764
78,47502.07331131853,-18374.442441178166,102097.63995834999
79,32936.62910715753,-77884.53057902765,129641.40133598365
80,43339.6937165116,-27256.959409925796,125907.16870634968
81,59550.45215537772,-25194.04108877988,99954.0229553905
82,54276.95961216073,-60855.05409759646,118468.73718108649
83,-17627.100412648157,-45877.14324724559,107833.10435434755
84,66223.63255900412,-15813.659997959325,103024.40467045491
85,40517.06711779656,-42803.77233320656,85481.88939308084
86,63377.67551272834,-17410.879539007336,101339.57800578498
87,-1432.589810783578,-27005.585612619197,115103.22690612542
88,48849.936263943884,-36600.03804317926,83509.82755858754
89,52591.7515338188,-44175.592065701465,76764.92370359786
90,59317.25307940463,-25756.633928282892,100603.83535254287
91,29146.54973839278,-69428.37937742351,94801.1263603414
92,24432.209340553312,-82287.65773547924,114352.6351024624
93,39252.7828676319,-59699.0183985353,90313.76977038672
94,16933.420515460617,-28695.79628537487,98241.55295952487
95,-8946.318802488973,-62443.40359131224,114191.73544013879
96,-7371.285482814863,-56641.33507294939,119665.72179891165
97,65651.42358044923,-17448.252099169065,110238.09500858269
98,-16345.070865509015,-36437.72647836407,101600.88008303838
99,66894.21986678931,-16886.92490481062,105155.53939578416
100,30415.44820639958,-55824.23830976509,91364.10951412287
101,-16622.670771508845,-41940.61542844391,81400.62622656934
102,9954.911396708765,-68849.78895777634,96352.1051530794
103,-18529.350667773317,-32404.608894197238,122602.89341462974
104,34577.886827830036,-29192.038066870453,96170.04205772598
105,59817.15048115782,-26073.870838329243,100896.15342296395
106,-13719.532850853167,-53734.8017638681,110261.31962401247
107,49673.882431382925,-32074.73691871828,88479.34536289328
108,34879.344675339686,-28008.76860112991,129244.42565345712
109,64387.821381218884,-16676.18803794148,101636.692293767
110,22112.88245972758,-44655.517728802646,91965.09750928727
111,-4474.7583356200985,-69233.36092293527,113132.56678462932
112,16996.98543383232,-80874.66351817768,102820.74246142134
113,-20295.360974794847,-19535.485275450257,117784.8299595231
114,-27651.34466627791,-31942.420026978023,112014.94851545304
115,64256.913107077184,-19209.811656619087,101453.22936171568
116,3341.265216570069,-67340.6208183755,97706.6529062718
117,52246.82281620785,-39857.34588698663,86149.29382777846
118,2327.67795293381,-53945.48535450399,91352.7300500872
119,6295.109572321266,-69909.93727210736,125892.08656573035
120,65868.34558776321,-23257.170814394434,104688.41312726431
121,4145.149893821095,-68851.49823569428,124726.45165018136
122,38872.90896613629,-36035.22981563336,136400.00934913507
